features,mean,sigma
2,-1.8574e-09,7.02136e-08
102,-1.20511e-07,2.46787e-06
202,1.06861e-07,5.37605e-06
302,-1.49691e-07,1.01047e-05
402,-2.0084e-07,1.2458e-05
502,-1.62839e-06,1.7987e-05
602,8.19689e-07,2.4381e-05
702,-3.98141e-07,2.78688e-05
802,3.66282e-07,3.12261e-05
902,-1.83804e-06,3.57035e-05
1002,1.20836e-06,4.4409e-05
1102,1.07689e-06,5.6744e-05
1202,-4.82106e-06,6.18702e-05
1302,-2.99976e-06,6.77276e-05
1402,1.46282e-06,7.1051e-05
1502,-7.75873e-08,7.78426e-05
1602,-1.45009e-06,8.17166e-05
1702,-3.44227e-06,8.76665e-05
1802,4.04098e-06,9.36791e-05
1902,2.75154e-06,0.000104193
2002,6.13723e-06,0.000114527
2102,5.09601e-06,0.000129128
2202,-3.72233e-06,0.000135888
2302,6.78445e-06,0.000146832
2402,2.25499e-06,0.000162425
2502,5.35383e-06,0.000165407
2602,2.56681e-06,0.000175011
2702,-3.44999e-06,0.000184014
2802,-1.71558e-05,0.000189446
2902,1.00159e-05,0.000195424
3002,4.34837e-06,0.000204055
3102,-4.67982e-06,0.000209174
3202,-5.93327e-07,0.000222056
3302,1.26578e-06,0.000228473
3402,-4.16102e-06,0.000229049
3502,-3.66421e-06,0.000245316
3602,2.08241e-06,0.000248294
3702,6.21071e-06,0.000260063
3802,9.46177e-06,0.000275628
3902,1.97828e-05,0.000284144
4002,-1.64751e-05,0.000302277
4102,2.40368e-05,0.000332904
4202,1.45488e-08,0.000343027
4302,-5.2247e-06,0.000362448
4402,2.75852e-07,0.000386448
4502,-7.1192e-06,0.000398301
4602,3.34441e-05,0.000399271
4702,-1.48819e-05,0.000422954
4802,-1.92395e-05,0.000425318
4902,1.20382e-05,0.000442032
5002,5.63458e-06,0.00045675
5102,1.16553e-05,0.000460766
5202,-1.55199e-05,0.000477357
5302,-3.35465e-05,0.000498699
5402,-2.25163e-05,0.000507078
5502,2.15946e-05,0.000514728
5602,-2.04325e-05,0.000526041
5702,-2.45011e-05,0.000550604
5802,-4.29806e-05,0.000540845
5902,1.23058e-05,0.000554639
6002,-1.03422e-05,0.000581367
6102,2.99333e-06,0.000571245
6202,-4.29142e-06,0.000590015
6302,1.78859e-05,0.000610903
6402,2.24117e-05,0.000601184
6502,-1.03926e-05,0.000604743
6602,-1.99715e-05,0.000623492
6702,4.66083e-05,0.000628117
6802,-1.98883e-05,0.000635815
6902,4.75798e-05,0.000660522
7002,6.77487e-06,0.000671998
7102,2.98199e-05,0.000670982
7202,-1.45807e-05,0.000678401
7302,-3.21297e-05,0.000718962
7402,4.32198e-05,0.000718991
7502,-8.99258e-06,0.000715029
7602,-5.06621e-06,0.000749619
7702,-4.19863e-05,0.000765834
7802,-4.32902e-05,0.000790935
7902,-2.45936e-05,0.000814763
8002,-3.43321e-06,0.000824419
8102,1.2735e-06,0.000853817
8202,3.58871e-05,0.000875313
8302,4.69036e-05,0.000914465
8402,-8.85955e-06,0.000938121
8502,3.71126e-05,0.000974862
8602,-1.81158e-05,0.000979594
8702,7.96706e-05,0.000986344
8802,2.99553e-05,0.00104139
8902,5.32242e-05,0.00105809
9002,6.33889e-06,0.00104495
9102,2.87398e-05,0.00109822
9202,-6.1261e-05,0.00109764
9302,7.59694e-05,0.00114695
9402,9.08596e-06,0.00120025
9502,8.9083e-05,0.00118796
9602,4.86907e-05,0.00119327
9702,-9.59019e-06,0.00125161
9802,-6.70061e-06,0.00122624
9902,9.58215e-05,0.00123267
