features,mean,sigma
228,-0.0115965,0.248352
229,-0.0138821,0.255561
230,0.00141766,0.257717
231,0.00328413,0.250125
232,-0.00671728,0.252512
233,-0.0119359,0.267825
234,-0.0208442,0.25402
235,-0.0187177,0.256762
236,-0.0272666,0.261977
237,-0.0119032,0.254074
238,-0.0309346,0.262023
239,-0.000544866,0.272546
240,-0.00881199,0.274967
241,-0.0150751,0.275966
242,-0.0157979,0.266625
243,0.000896352,0.278713
244,-0.000336133,0.279669
245,0.00754473,0.285808
246,-0.0182896,0.28598
247,0.00575134,0.284799
248,-0.00369667,0.295456
249,-0.0193413,0.295303
250,-0.0211142,0.300131
251,-0.0101001,0.316764
252,-0.00461137,0.298087
253,-0.0189468,0.322055
254,-0.0135176,0.308393
255,0.00235566,0.295935
256,-0.0010972,0.292561
257,-0.0363973,0.323724
258,-0.00304894,0.327343
259,-0.0296586,0.323264
260,-0.0206825,0.304019
261,-0.0314541,0.311059
262,-0.029732,0.326142
263,-0.00318865,0.318766
264,-0.0140552,0.326007
265,-0.0231458,0.342864
266,-0.0191308,0.324544
267,-0.0408875,0.326001
268,-0.0357264,0.338225
269,-0.00539283,0.363596
270,-0.0176019,0.356112
271,-0.0160445,0.355243
272,-0.035489,0.361293
273,-0.0222577,0.367414
274,-0.0339543,0.342516
275,-0.00520177,0.357447
276,-0.00206049,0.356362
277,-0.019664,0.351108
278,0.00694803,0.383424
279,-0.013277,0.383752
280,-0.0337683,0.358728
281,-0.0240321,0.36813
282,-0.0221366,0.369229
283,-0.0132257,0.379761
284,-0.0136284,0.387194
285,-0.0360073,0.396709
286,-0.0138715,0.390585
287,-0.0151089,0.38446
288,-0.0433838,0.3848
289,-0.00512726,0.396541
290,-0.0406836,0.409355
291,-0.0340863,0.409444
292,-0.0143449,0.406992
293,-0.0282975,0.420101
294,-0.0326841,0.408031
295,-0.037974,0.410748
296,-0.00323716,0.413265
297,-0.0267158,0.41106
298,-0.0240989,0.420641
299,-0.0350346,0.413599
300,-0.040886,0.418697
301,-0.0149508,0.427182
302,-0.0321632,0.427919
303,-0.0159385,0.439966
304,-0.0442012,0.433191
305,0.0286142,0.424091
306,-0.0525435,0.454085
307,-0.036011,0.440779
308,-0.0159957,0.465271
309,-0.018741,0.435413
310,0.00578871,0.446552
311,-0.0517656,0.455041
312,-0.0461993,0.44244
313,0.0254725,0.444283
314,-0.0058585,0.449915
315,-0.0495722,0.459892
316,-0.0276969,0.464884
317,-0.0598232,0.456521
318,-0.0222282,0.454658
319,-0.0345676,0.471007
320,-0.00226487,0.476438
321,0.00381408,0.468308
322,-0.0103515,0.472324
323,-0.0487075,0.482375
324,-0.0125965,0.481866
325,-0.0445943,0.472886
326,-0.0246462,0.470618
327,-0.0546083,0.460727
328,-0.0757117,0.486479
329,-0.0551261,0.495036
330,-0.0591736,0.494303
331,-0.0359239,0.50747
332,-0.0724544,0.471344
333,-0.0459512,0.493309
334,-0.0528671,0.481983
335,-0.0678452,0.491061
336,-0.0476283,0.515832
337,-0.0499236,0.500111
338,-0.0129776,0.498091
339,-0.0181606,0.481696
340,-0.0769842,0.518579
341,-0.0799401,0.506709
342,-0.0228023,0.508016
343,-0.0414627,0.50478
344,-0.0537112,0.505384
345,-0.00455724,0.52633
346,-0.0438124,0.516599
347,-0.00664476,0.516604
348,-0.0235924,0.540918
349,-0.089401,0.524834
350,-0.0327402,0.518319
351,-0.0333569,0.544578
352,-0.0464689,0.524374
353,-0.0292394,0.525386
354,-0.0325182,0.529007
355,-0.0263615,0.532601
356,-0.0305819,0.536428
357,-0.0179506,0.541103
358,-0.047476,0.540024
359,-0.0152419,0.553541
360,-0.0427971,0.554828
361,-0.0466908,0.541795
362,-0.0538957,0.541367
363,-0.0604089,0.542778
364,-0.0183695,0.547557
365,0.00248562,0.560333
366,-0.0448842,0.552003
367,-0.0331268,0.532119
368,-0.0798888,0.571022
369,-0.0656829,0.541657
370,-0.0932131,0.566181
371,-0.0623663,0.541012
372,-0.091644,0.568589
373,-0.0174062,0.533261
374,-0.0751532,0.552169
375,-0.0514549,0.561281
376,-0.0437153,0.574281
377,-0.060217,0.57463
378,-0.0298025,0.575864
379,-0.056483,0.579799
380,-0.0374025,0.578332
381,-0.0357762,0.574351
382,-0.0813277,0.607954
383,-0.0454868,0.584258
384,-0.0562118,0.59432
385,-0.0859004,0.583067
386,-0.0700673,0.58193
387,-0.0621162,0.606485
388,-0.062424,0.595851
389,-0.0743195,0.601694
390,-0.0359871,0.602924
391,0.0159546,0.588983
392,-0.0615029,0.607402
393,-0.0450884,0.598486
394,-0.0253764,0.582968
395,-0.0579247,0.600433
396,-0.0638295,0.624705
397,-0.0333788,0.607105
398,-0.0400509,0.587173
399,-0.0314373,0.59749
400,-0.0454616,0.610415
401,-0.0872976,0.604917
402,-0.0536363,0.615687
403,-0.078037,0.618974
404,-0.0554597,0.615953
405,-0.0496335,0.606135
406,-0.0302962,0.632751
407,0.0147418,0.614549
408,-0.0658639,0.620212
409,-0.0638278,0.621435
410,-0.0480649,0.622567
411,-0.0264027,0.641027
412,-0.089469,0.624728
413,-0.0634542,0.626278
414,-0.0448839,0.64829
415,-0.0373198,0.619584
416,-0.0525133,0.628507
417,-0.0648681,0.637881
418,-0.0361726,0.650314
419,-0.110626,0.634004
420,-0.0426447,0.636557
421,-0.0266595,0.626839
422,-0.0517449,0.649522
423,-0.021459,0.652416
424,-0.0477168,0.634305
