distance,delta
0.115535,0.00165233
0.163524,-0.00727363
0.385596,-0.010596
0.380782,-0.00578235
0.0959398,-0.00218976
0.344821,-0.00888328
0.0586909,0.0116216
0.355131,0.00424365
0.528212,0.0108505
0.628077,-0.0108897
0.144106,-0.00348062
0.282014,-0.0124827
0.404309,0.00194137
0.351156,-0.00740578
0.504002,0.00381077
0.0879511,0.0136114
0.412591,-0.00634111
0.231177,-0.00461419
0.707699,-0.0162925
0.446813,-0.017126
0.2388,-0.00442537
0.267651,0.0214111
0.298524,-0.0094613
0.403969,-0.0211568
0.086278,0.00747198
0.234383,-8.09447e-06
0.594554,-0.00471057
0.416396,-0.00233384
0.373045,0.00195465
0.342267,-0.00632931
0.230936,0.00343889
0.175826,-0.00395139
0.123047,0.00195329
0.297927,0.00676043
0.575357,0.00276806
0.212532,0.00621768
0.112058,0.00512913
0.158523,-0.00227328
0.0604517,0.00204825
0.28462,-0.00727623
0.0768545,-0.00654197
0.502014,-0.00982602
0.511695,-0.00388247
0.378265,-0.0110774
0.0977009,0.00386162
0.354572,-0.00300974
0.239681,0.0103191
0.159638,-0.00338777
0.165288,0.00658741
0.119646,-0.0102708
0.10263,-0.00106766
0.275858,-0.0102333
0.0449827,-0.0137327
0.749937,-0.0155623
0.246988,-0.0204254
0.295035,0.00965282
0.112463,-0.00308847
0.210465,-0.0151522
0.149913,0.00633663
0.26174,0.00388505
0.239017,-0.00464222
0.48657,0.00561776
0.512463,0.00316191
0.525269,-0.00964385
0.317141,-0.00464068
0.25483,0.0107955
0.425517,-0.0270796
0.424768,-0.0107051
0.296027,0.000848421
0.452017,-0.0145167
0.386917,-0.0119173
0.196887,-0.00938651
0.246054,-0.0116789
0.309321,-0.00463301
0.232151,-0.00558896
0.674953,-0.0187032
0.387057,0.0113808
0.240228,-0.0136655
0.0959508,0.0134242
0.314486,-0.00198556
0.336621,-0.00849639
0.284961,0.00800771
0.377059,0.00575307
0.0913894,0.00236059
0.0846781,-0.0143656
0.130506,-0.00550594
0.359089,0.000286184
0.240279,-0.00590398
0.491788,-0.0230377
0.160082,0.0117932
0.570831,-0.00833076
0.279882,-0.00644445
0.142812,0.00562523
0.142817,-0.0100049
0.307418,-0.0105432
0.0308838,0.00817872
0.664107,-4.43766e-05
0.376616,-0.0094289
0.192917,-0.00541666
0.161709,-0.00545923
0.288043,0.00101922
0.200547,-0.00523413
0.45617,-0.0186704
0.160497,-0.0120594
0.254487,-0.0122993
0.473885,-0.00513485
0.160808,-0.020183
0.160981,0.0030811
0.508067,-0.0197859
0.17022,-0.01397
0.381602,-0.00660162
0.26058,-0.0105796
0.114142,-0.0047673
0.373895,-0.00670708
0.454775,-0.00946276
0.280472,0.00859018
0.518832,-0.00320712
0.4692,-0.00826201
0.231995,0.00237954
0.380197,-0.00519656
0.283566,-0.00231645
0.267932,-0.0023067
0.117947,-0.000759495
0.350336,0.00122604
0.390668,0.00776958
0.0475447,-0.0162947
0.532899,0.00616305
0.175714,0.00397337
0.0803826,-0.00225761
0.215621,0.0031293
0.229637,0.00473839
0.3996,-0.00897497
0.236542,-0.00216731
0.49172,-0.015157
0.519281,-0.0153751
0.273668,-0.00804341
0.215814,-0.00487696
0.534006,-0.0105684
0.0997094,-0.0137719
0.144007,0.00443028
0.0704725,-0.000160048
0.761223,-0.0190354
0.286589,0.0024738
0.318904,-0.0298415
0.107114,-0.00555124
0.102881,-0.0169435
0.130026,-0.00502616
0.176394,-0.0201438
0.425134,-0.011072
0.223792,-0.00504205
0.410147,0.00391517
0.900818,0.00543184
0.249402,-0.00721427
0.607314,-0.0213769
0.317815,-0.0131274
0.348825,-0.0128876
0.368139,-0.000951122
0.254573,0.00323941
0.147145,0.00129291
0.763849,-0.0138492
0.441033,-0.011346
0.484782,-0.00821938
0.435187,-0.00549955
0.1149,-0.00552469
0.316401,0.0117244
0.325826,-0.00551393
0.305908,0.00659248
0.0843766,0.00156093
0.533199,-0.0175744
0.0497846,-0.00290963
0.095763,-0.017638
0.345452,0.00611018
0.0321508,0.0147242
0.158081,0.0137945
0.120928,-0.00374067
0.26996,-0.0121479
0.194636,0.00848949
0.165155,0.00671967
0.0804087,-0.0100962
0.153344,0.0107184
0.177605,-0.00573029
0.0939071,-0.0001571
0.474505,-0.0213803
0.282163,-0.00872548
0.225749,0.0086257
0.261119,-0.0189311
0.179782,0.00771807
0.263746,0.00578526
0.131833,-0.00683292
0.437191,0.000309024
0.352221,-0.00847073
0.23977,0.01023
0.358919,-0.0112627
0.290278,-0.00121502
0.325677,0.00244798
0.340535,0.00321514
0.360925,-0.00936258
0.142492,-0.00186694
0.306899,-0.017836
0.53932,-0.000257754
0.275388,-0.00195094
0.220435,-0.00168459
0.396478,-0.0292909
0.129443,-0.00444259
0.304123,0.00837684
1.10789,-0.0219499
0.135642,0.00498319
0.34807,-0.000413743
0.177272,-0.00539689
0.701152,-0.0214642
0.547481,-0.0123244
0.306438,-0.001751
0.768302,-0.00267663
0.306437,0.00606303
0.105103,-0.00354014
0.260796,-0.0107957
0.17236,-0.000485174
0.169855,-0.00579253
0.338653,-0.0183405
0.159698,0.000458579
0.141889,-0.00126433
0.245435,-0.00324741
0.254628,0.0031848
0.365092,-0.021342
0.220699,0.0136756
0.533141,-0.0018906
0.180995,0.0143171
0.355622,-0.00405975
0.117895,-0.00852005
0.285859,0.00320342
0.432029,-0.0101541
0.827894,-0.00758173
0.251548,-0.00154801
0.216753,0.0019973
0.183888,-0.0120127
0.418618,-0.00455515
0.104736,-0.0266111
0.260535,-0.018347
0.253038,-0.00303843
0.800756,-0.0195057
0.429898,0.00760171
0.496527,-0.00433995
0.0695619,0.00856312
0.364174,-0.00479916
0.188237,-0.00854967
0.370559,-0.0111843
0.46477,-0.0038329
0.383614,-0.000801347
0.277718,-0.0120933
0.147141,0.00129697
0.917475,-0.00341263
0.239185,0.00300299
0.145165,0.00327286
0.258694,-0.000881672
0.220227,-0.00928961
0.281815,-0.01619
0.193769,0.00935578
0.273636,-0.000198183
0.488061,-0.00368625
