distance,delta
280.095,-0.00018786
272.011,-0.000160267
275.767,-0.000476
276.555,-0.000245696
263.971,-0.000603037
276.551,-1.27725e-05
268.891,0.000372022
274.031,-0.000381137
273.258,-0.000284469
283.336,0.000263246
271.511,-0.000206109
275.923,-0.000587293
288.334,-0.000493251
275.21,0.000328928
261.399,-0.000731444
271.667,-0.000247778
281.307,5.95219e-05
271.017,-0.000949892
276.291,-6.38542e-05
280.726,0.00045517
263.742,0.000566444
284.844,-0.000456213
272.377,-0.000117374
268.768,0.00100269
280.11,0.00108773
274.289,0.000129945
278.135,0.000315078
286.274,0.000304666
269.939,4.32895e-05
272.311,-0.0003475
272.439,-0.000741256
276.664,0.00023001
276.223,0.000587049
271.154,9.51051e-05
278.956,-0.000577055
271.166,-0.000611739
279.024,0.00117047
281.476,-0.000107933
275.505,0.000102939
286.564,-6.33435e-05
270.823,-0.000268978
271.718,-8.87655e-06
277.98,-0.000257678
282.207,0.000595533
280.749,-0.000289836
276.05,2.21582e-05
271.379,-4.48835e-05
290.902,-0.000685453
278.842,-0.000111823
274.693,-0.000371429
273.334,-0.000804755
275.001,0.000211788
281.644,9.66431e-05
274.069,-0.000401755
276.11,0.000393561
280.014,0.000438823
274.475,0.000710135
273.605,0.00027282
275.403,6.36297e-05
285.762,-6.42834e-05
268.976,-0.000521821
281.43,-0.00112445
276.335,-0.000236579
266.04,-0.000320226
278.007,0.000359986
273.326,-0.000580047
269.688,-0.000618723
281.696,0.000839703
277.249,-0.00058377
268.934,0.000635194
279.122,-4.44844e-05
269.205,0.000467765
274.251,0.000317988
280.604,-0.000335619
273.22,-0.000332529
273.186,0.000708954
276.4,7.65808e-05
266.822,7.83624e-05
266.548,-0.000102428
275.063,-0.000801037
270.711,4.36558e-05
272.825,0.000964813
272.167,-0.000312017
262.913,9.77104e-05
276.397,0.000111067
280.289,0.000129115
287.301,0.000304718
279.429,0.000509738
283.602,-0.000652123
280.555,-0.000303012
283.696,0.000174391
269.078,0.0006322
270.338,0.000256449
264.346,-0.000260387
284.335,0.000812158
269.524,0.00019138
276.905,-0.000258461
267.16,-0.000381445
272.343,0.000458589
276.214,1.54944e-05
279.596,0.000214945
277.602,-0.000979873
276.457,3.49893e-05
273.646,-0.000158256
271.985,-0.000109356
271.984,0.000167323
273.508,-0.000799166
273.304,0.000581342
278.595,-0.000808673
284.027,-0.000485096
272.517,-0.000142302
276.57,1.82384e-05
273.993,0.000245761
279.859,0.000125572
273.4,-0.000468776
272.427,1.89858e-05
273.364,0.000373485
274.105,-0.000327563
279.574,2.02362e-06
278.197,-0.000178201
276.377,-0.000250001
271.897,-0.000513964
275.715,0.000614335
277.5,-0.000324992
279.649,0.000281653
273.832,-0.000349688
270.208,-0.000343673
279.279,0.000222511
273.024,0.000556392
280.23,-0.000631972
283.192,0.000525356
283.217,-0.000169417
276.211,-0.000529721
292.343,-0.000150101
268.781,-0.000321477
281.061,-0.000250418
272.477,0.000260736
271.608,0.000299517
269.791,-0.000118331
275.065,-0.000159674
283.417,-0.000434297
275.879,0.00013168
266.976,0.000337542
282.333,-0.000122733
283.88,4.49905e-05
270.163,0.000572556
279.448,0.000387889
284.57,0.000588625
272.35,0.000871528
285.532,-8.6627e-05
275.338,-6.82437e-05
270.117,-0.000326327
281.277,0.0013066
268.16,0.000418279
272.075,0.000988255
275.082,-0.000556076
271.574,-0.000322428
266.38,0.000123018
274.908,-0.000344951
275.927,0.000275524
270.929,-0.000489229
280.847,0.000314526
272.352,-0.000441673
271.371,-0.000270514
284.452,0.000257316
279.135,-6.35384e-05
278.579,0.000111528
274.444,-0.000333397
272.256,0.000119873
277.48,0.000545193
279.951,-0.000599617
276.067,6.72964e-05
273.998,8.53285e-05
279.294,-0.000189863
274.138,0.000471368
275.308,-0.000831418
266.178,-0.000237458
276.339,0.000582654
269.754,0.000236817
287.396,-0.000180498
268.973,0.000160585
275.968,-0.00011435
279.078,-0.000737803
273.574,0.000599837
275.236,-0.000417033
272.917,-0.000391848
273.07,-0.000163556
280.007,0.000510898
269.214,-1.10531e-05
267.34,-0.000383502
273.798,-2.30747e-06
283.206,0.000654273
270.831,-0.000405149
273.696,-0.000375856
276.349,0.000257637
283.293,-5.90847e-05
264.194,-0.000198703
286.509,-0.000805536
290.882,-0.000217996
273.777,0.000121085
266.225,0.000384333
272.358,-0.000171098
268.555,-0.000407431
276.661,-0.000315897
270.166,-0.000628908
273.65,0.000396767
279.858,-0.000525249
